Code,Code Description,Number of Occurences
5012,Burglary,100
27110,Other Miscellaneous,36
64002,Civil Sidewalks,379
6233,Larceny Theft,43
3063,Robbery,11
15016,Sex Offense,25
68053,Other Offenses,8
3022,Robbery,31
7053,Vehicle Impounded,167
4021,Assault,67
5072,Burglary,119
3414,Robbery,104
6113,Larceny Theft,462
30080,Other Offenses,75
6314,Larceny Theft,405
5123,Burglary,11
3073,Robbery,184
26150,Other Miscellaneous,279
3444,Robbery,32
9110,Forgery And Counterfeiting,50
64001,Civil Sidewalks,238
27082,Other Miscellaneous,2
28164,Malicious Mischief,29
19025,Disorderly Conduct,1
5033,Burglary,96
26175,Other Miscellaneous,1
62071,Warrant,191
30210,Other Offenses,71
5023,Burglary,42
60020,Suicide,3
26210,Other Miscellaneous,15
26040,Other Miscellaneous,27
51041,Non-Criminal,98
6232,Larceny Theft,15
16210,Drug Offense,28
26100,Other Miscellaneous,49
15152,Offences Against The Family And Children,12
5171,Burglary,76
6313,Larceny Theft,343
6386,Larceny Theft,39
15100,Offences Against The Family And Children,25
71011,Other Offenses,113
30007,Other Offenses,5
15160,Offences Against The Family And Children,45
7054,Vehicle Misplaced,91
9330,Fraud,24
64040,Other Offenses,9
29130,Juvenile Offenses,1
16625,Drug Offense,270
28161,Malicious Mischief,149
9262,Forgery And Counterfeiting,106
5143,Burglary,108
19095,Disorderly Conduct,28
7026,Motor Vehicle Theft,211
9040,Fraud,51
5082,Burglary,101
7056,Embezzlement,15
15201,Offences Against The Family And Children,68
29170,Juvenile Offenses,3
5142,Burglary,9
6394,Larceny Theft,150
5173,Burglary,80
9016,Forgery And Counterfeiting,89
16645,Drug Offense,26
64011,Non-Criminal,3
26145,Larceny Theft,130
62010,Warrant,68
16720,Drug Offense,9
4092,Assault,84
10040,Embezzlement,34
19020,Disorderly Conduct,25
26141,Other Miscellaneous,58
10015,Embezzlement,35
16621,Drug Offense,135
27198,Other Miscellaneous,32
4084,Assault,45
13060,Prostitution,230
15300,Offences Against The Family And Children,169
65060,Other Miscellaneous,98
3052,Robbery,6
6398,Larceny Theft,12
16780,Drug Violation,73
12060,Weapons Offense,31
60190,Suicide,10
12010,Weapons Offense,34
73001,Non-Criminal,9
60080,Suicide,9
15155,Offences Against The Family And Children,269
10045,Embezzlement,66
5015,Larceny Theft,35
9310,Fraud,51
4022,Assault,72
3084,Robbery,60
3464,Robbery,5
7027,Motor Vehicle Theft?,43
7204,Other Miscellaneous,2
3081,Robbery,69
7051,Motor Vehicle Theft,65
16654,Drug Offense,52
9173,Fraud,4
64050,Suspicious Occ,40
16620,Drug Offense,97
9140,Forgery And Counterfeiting,3
11017,Stolen Property,13
28102,Malicious Mischief,10
4081,Assault,114
5251,Burglary,45
16705,Drug Offense,9
19081,Disorderly Conduct,16
5152,Burglary,74
10115,Fraud,65
62040,Warrant,113
16660,Drug Offense,100
3013,Robbery,94
6312,Larceny Theft,45
9035,Fraud,14
28120,Malicious Mischief,14
10070,Embezzlement,1
60090,Suicide,5
5241,Burglary,4
15031,Offences Against The Family And Children,37
16220,Drug Offense,21
30140,Other Offenses,43
5042,Burglary,131
5111,Burglary,13
68055,Other Offenses,7
7052,Embezzlement,54
26070,Other Miscellaneous,84
4074,Assault,52
30130,Other Offenses,65
3412,Robbery,14
4023,Assault,48
9030,Fraud,25
27172,Other Miscellaneous,38
3051,Robbery,46
3053,Robbery,14
3471,Robbery,44
