CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
438758706,8/31/2014,16:50:00,8/31/2014,18:50:00,8/31/2014,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,45,INSIDE,CHAIN STORE,,,1033597,255731,40.86846738,-73.82158285,"(40.868467378, -73.821582846)"
232862609,8/31/2014,5:00:00,8/31/2014,12:40:00,8/31/2014,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,48,REAR OF,PARKING LOT/GARAGE (PRIVATE),,,1017184,245299,40.83991116,-73.88097671,"(40.839911161, -73.880976712)"
965688167,8/31/2014,4:06:00,8/31/2014,4:16:00,8/31/2014,343,OTHER OFFENSES RELATED TO THEF,478,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,32,FRONT OF,TAXI (LIVERY LICENSED),,,999428,236544,40.81592955,-73.94516736,"(40.815929553, -73.945167357)"
937366578,8/31/2014,4:00:00,,,8/31/2014,343,OTHER OFFENSES RELATED TO THEF,478,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,75,,STREET,,,1012329,185444,40.67564138,-73.89877282,"(40.675641379, -73.898772822)"
128297792,8/31/2014,3:00:00,8/31/2014,3:15:00,8/31/2014,343,OTHER OFFENSES RELATED TO THEF,478,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,81,,STREET,,,1003979,187745,40.68197965,-73.92886896,"(40.681979648, -73.928868959)"
697379879,8/31/2014,2:40:00,8/31/2014,2:50:00,8/31/2014,343,OTHER OFFENSES RELATED TO THEF,478,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,67,,STREET,,,1002541,176048,40.64987707,-73.93408537,"(40.649877073, -73.934085367)"
165955590,8/31/2014,2:30:00,8/31/2014,7:30:00,8/31/2014,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,10,INSIDE,RESIDENCE - APT. HOUSE,,,986110,215693,40.75871197,-73.99328754,"(40.758711971, -73.993287535)"
736300083,7/5/2014,9:00:00,8/22/2014,9:00:00,8/31/2014,109,GRAND LARCENY,432,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,43,INSIDE,RESIDENCE - APT. HOUSE,,,1024906,238244,40.82051506,-73.85311191,"(40.820515058, -73.853111908)"
458238694,8/30/2014,6:00:00,,,8/30/2014,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,48,INSIDE,RESIDENCE-HOUSE,,,1014916,247517,40.84600709,-73.8891632,"(40.846007086, -73.8891632)"
468170370,8/30/2014,3:30:00,,,8/30/2014,343,OTHER OFFENSES RELATED TO THEF,478,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,40,FRONT OF,STREET,,,1008678,238538,40.82138179,-73.91174232,"(40.821381786, -73.911742317)"
617718726,8/30/2014,2:30:00,8/30/2014,11:05:00,8/30/2014,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,9,INSIDE,HOTEL/MOTEL,,,987358,204898,40.72908204,-73.9887877,"(40.729082038, -73.988787701)"
512403952,8/30/2014,1:50:00,8/30/2014,2:00:00,8/30/2014,343,OTHER OFFENSES RELATED TO THEF,478,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,73,FRONT OF,TAXI (YELLOW LICENSED),,,1009321,186644,40.67894414,-73.9096126,"(40.678944137, -73.9096126)"
596712757,8/30/2014,1:35:00,8/30/2014,1:49:00,8/30/2014,343,OTHER OFFENSES RELATED TO THEF,478,"THEFT OF SERVICES, UNCLASSIFIE",ATTEMPTED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,52,,TAXI (LIVERY LICENSED),,,1014086,254305,40.86464095,-73.89213291,"(40.864640953, -73.892132912)"
932122423,8/30/2014,0:20:00,,,8/30/2014,343,OTHER OFFENSES RELATED TO THEF,478,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,79,INSIDE,RESTAURANT/DINER,,,999471,187078,40.68015778,-73.94512396,"(40.680157784, -73.945123957)"
239804406,8/29/2014,23:55:00,8/29/2014,23:55:00,8/30/2014,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,30,INSIDE,RESTAURANT/DINER,,,997234,239120,40.82300345,-73.95308871,"(40.823003445, -73.953088713)"
810869307,8/29/2014,21:45:00,8/29/2014,22:00:00,8/29/2014,343,OTHER OFFENSES RELATED TO THEF,478,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,75,FRONT OF,STREET,,,1019191,182199,40.66671016,-73.87405123,"(40.666710164, -73.874051228)"
542295799,8/29/2014,20:20:00,8/29/2014,21:21:00,8/29/2014,343,OTHER OFFENSES RELATED TO THEF,478,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,44,INSIDE,RESIDENCE - APT. HOUSE,,,1006194,244489,40.83772209,-73.92069762,"(40.837722094, -73.920697617)"
662670956,8/29/2014,20:15:00,8/29/2014,20:30:00,8/29/2014,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,108,,PARK/PLAYGROUND,LAWRENCE VIRGILIO PLAYGROUND,,1008600,211548,40.74730167,-73.91212196,"(40.747301667, -73.912121959)"
