INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I162012682,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D14,796,,2016-02-17 11:38:00,2016,2,Wednesday,11,Part One,COMMONWEALTH AVE,42.35068065,-71.12769723,"(42.35068065, -71.12769723)"
I162012670,00521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,E5,686,,2016-02-16 15:30:00,2016,2,Tuesday,15,Part One,BEECH ST,42.28266003,-71.14387576,"(42.28266003, -71.14387576)"
I162012663,00521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,D14,781,,2016-02-17 10:27:00,2016,2,Wednesday,10,Part One,SAYBROOK ST,42.35389172,-71.14530316,"(42.35389172, -71.14530316)"
I162012567,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,E13,639,,2016-02-16 12:30:00,2016,2,Tuesday,12,Part One,ROCKVIEW ST,42.31354886,-71.11045500,"(42.31354886, -71.11045500)"
I162012520,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,E13,639,,2016-02-12 14:30:00,2016,2,Friday,14,Part One,ROCKVIEW ST,42.31281243,-71.11119978,"(42.31281243, -71.11119978)"
I162012457,00540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,C11,817,,2016-02-16 14:15:00,2016,2,Tuesday,14,Part One,DORCHESTER AVE,42.28831574,-71.06358730,"(42.28831574, -71.06358730)"
I162012394,00540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,C6,195,,2016-02-16 08:33:00,2016,2,Tuesday,8,Part One,DORCHESTER AVE,42.33262910,-71.05700016,"(42.33262910, -71.05700016)"
I162012376,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E5,821,,2016-02-16 10:52:00,2016,2,Tuesday,10,Part One,FACTORY ST,42.25296948,-71.12552641,"(42.25296948, -71.12552641)"
I162012289,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D14,772,,2016-02-15 23:30:00,2016,2,Monday,23,Part One,CHESTNUT HILL AVE,42.34697615,-71.15358940,"(42.34697615, -71.15358940)"
I162012288,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,771,,2016-02-15 23:09:00,2016,2,Monday,23,Part One,EASTBURN ST,42.34793774,-71.15676006,"(42.34793774, -71.15676006)"
I162012284,00541,Commercial Burglary,BURGLARY - COMMERICAL - ATTEMPT,A1,120,,2016-02-15 23:04:00,2016,2,Monday,23,Part One,BOYLSTON ST,42.35204640,-71.06992523,"(42.35204640, -71.06992523)"
I162012272,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,301,,2016-02-15 20:35:00,2016,2,Monday,20,Part One,FORT AVENUE TER,42.32511161,-71.09424190,"(42.32511161, -71.09424190)"
I162012261,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E13,577,,2016-02-15 12:30:00,2016,2,Monday,12,Part One,WASHINGTON ST,42.31408519,-71.09998685,"(42.31408519, -71.09998685)"
I162012250,00521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,D4,145,,2016-02-15 18:45:00,2016,2,Monday,18,Part One,ALBEMARLE ST,42.34224611,-71.08279748,"(42.34224611, -71.08279748)"
I162012191,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B3,436,,2016-02-15 14:29:00,2016,2,Monday,14,Part One,TORREY ST,42.28719467,-71.07380134,"(42.28719467, -71.07380134)"
I162012028,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,785,,2016-02-14 12:30:00,2016,2,Sunday,12,Part One,EUSTON RD,42.34359933,-71.14575674,"(42.34359933, -71.14575674)"
I162011997,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C6,215,,2016-02-08 08:00:00,2016,2,Monday,8,Part One,TUDOR ST,42.33605213,-71.05272021,"(42.33605213, -71.05272021)"
I162011853,00521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,D14,773,,2016-02-14 02:09:00,2016,2,Sunday,2,Part One,RADNOR RD,42.34054124,-71.15776130,"(42.34054124, -71.15776130)"
I162011839,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B3,463,,2016-02-13 23:22:00,2016,2,Saturday,23,Part One,LORNE ST,42.29352763,-71.09037783,"(42.29352763, -71.09037783)"
I162011809,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C6,174,,2016-02-13 20:50:00,2016,2,Saturday,20,Part One,DEXTER ST,42.33033530,-71.05760678,"(42.33033530, -71.05760678)"
I162011704,00541,Commercial Burglary,BURGLARY - COMMERICAL - ATTEMPT,A1,123,,2016-02-13 11:07:00,2016,2,Saturday,11,Part One,WASHINGTON ST,42.34997256,-71.06348817,"(42.34997256, -71.06348817)"
I162011659,00521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,B3,457,,2016-02-13 08:15:00,2016,2,Saturday,8,Part One,MCLELLAN ST,42.29946190,-71.08360148,"(42.29946190, -71.08360148)"
I162011647,00521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,D14,776,,2016-02-13 04:13:00,2016,2,Saturday,4,Part One,COMMONWEALTH AVE,42.34154901,-71.14974484,"(42.34154901, -71.14974484)"
I162011478,00521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,D14,805,,2016-02-09 12:30:00,2016,2,Tuesday,12,Part One,PORTSMOUTH ST,42.35974856,-71.14432384,"(42.35974856, -71.14432384)"
I162011472,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E18,527,,2016-02-12 14:02:00,2016,2,Friday,14,Part One,HYDE PARK AVE,42.23421715,-71.13327736,"(42.23421715, -71.13327736)"
I162011349,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,285,,2016-02-11 19:59:00,2016,2,Thursday,19,Part One,SAINT CYPRIANS PL,42.33636145,-71.08676950,"(42.33636145, -71.08676950)"
I162011283,00562,Other Burglary,BURGLARY - OTHER - NO FORCE,B2,310,,2016-02-11 11:32:00,2016,2,Thursday,11,Part One,MARTIN LUTHER KING JR BLV,42.31847226,-71.08409289,"(42.31847226, -71.08409289)"
I162011028,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,E13,916,,2016-02-10 09:00:00,2016,2,Wednesday,9,Part One,BICKFORD ST,42.32483301,-71.10164757,"(42.32483301, -71.10164757)"
I162010918,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C11,347,,2016-02-01 00:01:00,2016,2,Monday,0,Part One,LYON ST,42.30638323,-71.06021218,"(42.30638323, -71.06021218)"
I162010879,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,777,,2016-02-10 10:37:00,2016,2,Wednesday,10,Part One,MONASTERY RD,42.34575090,-71.14658064,"(42.34575090, -71.14658064)"
I162010871,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D4,146,,2016-02-10 08:49:00,2016,2,Wednesday,8,Part One,SAINT BOTOLPH ST,42.34617476,-71.07925920,"(42.34617476, -71.07925920)"
I162010795,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,584,,2016-02-09 20:30:00,2016,2,Tuesday,20,Part One,WENSLEY ST,42.32706721,-71.10128822,"(42.32706721, -71.10128822)"
I162010782,00521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,E13,303,,2016-02-09 19:40:00,2016,2,Tuesday,19,Part One,W WALNUT PARK,42.31865822,-71.10067180,"(42.31865822, -71.10067180)"
I162010643,00541,Commercial Burglary,BURGLARY - COMMERICAL - ATTEMPT,E5,559,,2016-02-06 22:22:00,2016,2,Saturday,22,Part One,WASHINGTON ST,42.28471678,-71.12998991,"(42.28471678, -71.12998991)"
I162010635,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D4,133,,2016-02-09 10:18:00,2016,2,Tuesday,10,Part One,COMMONWEALTH AVE,42.35317358,-71.07266833,"(42.35317358, -71.07266833)"
I162010512,00542,Commercial Burglary,BURGLARY - COMMERICAL - NO FORCE,B3,426,,2016-02-08 05:11:00,2016,2,Monday,5,Part One,BLUE HILL AVE,42.26820198,-71.09367344,"(42.26820198, -71.09367344)"
I162010432,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,295,,2016-02-08 07:45:00,2016,2,Monday,7,Part One,DABNEY ST,42.32451689,-71.08377030,"(42.32451689, -71.08377030)"
I162010415,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D4,156,,2016-02-08 05:16:00,2016,2,Monday,5,Part One,MASSACHUSETTS AVE,42.33828866,-71.07908476,"(42.33828866, -71.07908476)"
