INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182043414,00724,Auto Theft,AUTO THEFT,C6,172,,2018-06-05 07:30:00,2018,6,Tuesday,7,Part One,S BAY AVE,42.33383092,-71.06605663,"(42.33383092, -71.06605663)"
I182043409,00724,Auto Theft,AUTO THEFT,A1, ,,2018-06-05 12:30:00,2018,6,Tuesday,12,Part One,CAMBRIDGE ST,,,"(0.00000000, 0.00000000)"
I182043321,00724,Auto Theft,AUTO THEFT,B3,469,,2018-06-05 11:21:00,2018,6,Tuesday,11,Part One,WALK HILL ST,42.27991636,-71.09674377,"(42.27991636, -71.09674377)"
I182043260,00706,Auto Theft,AUTO THEFT - MOTORCYCLE / SCOOTER,C11,236,,2018-06-04 19:30:00,2018,6,Monday,19,Part One,POND ST,42.31898335,-71.05892331,"(42.31898335, -71.05892331)"
I182043202,00724,Auto Theft,AUTO THEFT,C11,347,,2018-05-21 09:00:00,2018,5,Monday,9,Part One,LEEDSVILLE ST,42.30492795,-71.05979933,"(42.30492795, -71.05979933)"
I182043122,00724,Auto Theft,AUTO THEFT,B2,329,,2018-06-04 14:00:00,2018,6,Monday,14,Part One,GENEVA AVE,42.30767844,-71.08050401,"(42.30767844, -71.08050401)"
I182043122,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),B2,329,,2018-06-04 14:00:00,2018,6,Monday,14,Other,GENEVA AVE,42.30767844,-71.08050401,"(42.30767844, -71.08050401)"
I182043113,00724,Auto Theft,AUTO THEFT,C6,228,,2018-06-02 18:00:00,2018,6,Saturday,18,Part One,FARRAGUT RD,42.33537285,-71.02505021,"(42.33537285, -71.02505021)"
I182043020,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),C6,174,,2018-06-04 10:06:00,2018,6,Monday,10,Other,FRONTAGE RD,42.33796886,-71.06408210,"(42.33796886, -71.06408210)"
I182043006,00727,Auto Theft,AUTO THEFT - LEASED/RENTED VEHICLE,B2,307,,2018-06-04 09:24:00,2018,6,Monday,9,Part One,COBDEN ST,42.31741922,-71.09567995,"(42.31741922, -71.09567995)"
I182042986,00706,Auto Theft,AUTO THEFT - MOTORCYCLE / SCOOTER,B3,565,,2018-06-03 23:00:00,2018,6,Sunday,23,Part One,HARVARD ST,42.29190075,-71.09029516,"(42.29190075, -71.09029516)"
I182042966,00724,Auto Theft,AUTO THEFT,D4,166,,2018-06-04 02:10:00,2018,6,Monday,2,Part One,MONSIGNOR REYNOLDS WAY,42.34048702,-71.06971633,"(42.34048702, -71.06971633)"
I182042953,00724,Auto Theft,AUTO THEFT,B3,448,,2018-06-04 00:07:00,2018,6,Monday,0,Part One,SPENCER ST,42.29384269,-71.07609427,"(42.29384269, -71.07609427)"
I182042953,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),B3,448,,2018-06-04 00:07:00,2018,6,Monday,0,Other,SPENCER ST,42.29384269,-71.07609427,"(42.29384269, -71.07609427)"
I182042922,00724,Auto Theft,AUTO THEFT,D14,812,,2018-06-03 18:30:00,2018,6,Sunday,18,Part One,N HARVARD ST,42.36402978,-71.12863340,"(42.36402978, -71.12863340)"
I182042846,00724,Auto Theft,AUTO THEFT,B3,427,,2018-06-03 04:00:00,2018,6,Sunday,4,Part One,ASTORIA ST,42.27913841,-71.08797090,"(42.27913841, -71.08797090)"
I182042802,00724,Auto Theft,AUTO THEFT,E18,496,,2018-06-02 19:00:00,2018,6,Saturday,19,Part One,HYDE PARK AVE,42.26922388,-71.12085347,"(42.26922388, -71.12085347)"
I182042551,00724,Auto Theft,AUTO THEFT,B3,444,,2018-06-02 14:07:00,2018,6,Saturday,14,Part One,WALES ST,42.29752097,-71.08502291,"(42.29752097, -71.08502291)"
I182042480,00724,Auto Theft,AUTO THEFT,C11,385,,2018-06-02 08:45:00,2018,6,Saturday,8,Part One,GALLIVAN BLVD,42.28410589,-71.04608937,"(42.28410589, -71.04608937)"
I182042358,00724,Auto Theft,AUTO THEFT,E18,527,,2018-06-01 19:30:00,2018,6,Friday,19,Part One,HYDE PARK AVE,42.23631051,-71.13231083,"(42.23631051, -71.13231083)"
I182042332,00724,Auto Theft,AUTO THEFT,C11,393,,2018-05-30 23:30:00,2018,5,Wednesday,23,Part One,DRACUT ST,42.28741838,-71.06190780,"(42.28741838, -71.06190780)"
I182042302,00724,Auto Theft,AUTO THEFT,A1,110,,2018-06-01 16:00:00,2018,6,Friday,16,Part One,HIGH ST,42.35563811,-71.05360316,"(42.35563811, -71.05360316)"
I182042213,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),A7,20,,2018-06-01 11:59:00,2018,6,Friday,11,Other,BREMEN ST,42.37716786,-71.02925745,"(42.37716786, -71.02925745)"
I182041770,00724,Auto Theft,AUTO THEFT,C11,394,,2018-05-30 19:30:00,2018,5,Wednesday,19,Part One,ROWENA ST,42.28477931,-71.06223825,"(42.28477931, -71.06223825)"
I182041688,00724,Auto Theft,AUTO THEFT,A1,120,,2018-05-27 22:05:00,2018,5,Sunday,22,Part One,PARK PLZ,42.35162789,-71.06866410,"(42.35162789, -71.06866410)"
I182041377,00724,Auto Theft,AUTO THEFT,C6,177,,2018-05-29 18:00:00,2018,5,Tuesday,18,Part One,SOUTHAMPTON ST,42.33210843,-71.07014395,"(42.33210843, -71.07014395)"
I182041140,00724,Auto Theft,AUTO THEFT,B2,298,,2018-05-28 20:30:00,2018,5,Monday,20,Part One,DALE ST,42.32328409,-71.08937234,"(42.32328409, -71.08937234)"
I182041081,00724,Auto Theft,AUTO THEFT,A1,116,,2018-05-28 21:00:00,2018,5,Monday,21,Part One,BEACH ST,42.35142278,-71.06084508,"(42.35142278, -71.06084508)"
I182041073,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),D4,138,,2018-05-29 01:26:00,2018,5,Tuesday,1,Other,BOYLSTON ST,42.34901954,-71.08130134,"(42.34901954, -71.08130134)"
I182041073,00724,Auto Theft,AUTO THEFT,D4,138,,2018-05-29 01:26:00,2018,5,Tuesday,1,Part One,BOYLSTON ST,42.34901954,-71.08130134,"(42.34901954, -71.08130134)"
I182041024,00724,Auto Theft,AUTO THEFT,B2,330,,2018-05-28 20:20:00,2018,5,Monday,20,Part One,WASHINGTON ST,42.30576686,-71.08097517,"(42.30576686, -71.08097517)"
I182040995,00724,Auto Theft,AUTO THEFT,C11,340,,2018-05-27 19:00:00,2018,5,Sunday,19,Part One,DRAPER ST,42.30540715,-71.06547135,"(42.30540715, -71.06547135)"
I182040946,00724,Auto Theft,AUTO THEFT,C11,345,,2018-05-27 17:00:00,2018,5,Sunday,17,Part One,MOUNT IDA RD,42.30391393,-71.06340963,"(42.30391393, -71.06340963)"
I182040939,00724,Auto Theft,AUTO THEFT,A15,900,,2018-05-26 22:00:00,2018,5,Saturday,22,Part One,COREY ST,42.37811572,-71.05611385,"(42.37811572, -71.05611385)"
I182040911,00724,Auto Theft,AUTO THEFT,A1,118,,2018-05-27 23:30:00,2018,5,Sunday,23,Part One,BOYLSTON ST,42.35251005,-71.06719166,"(42.35251005, -71.06719166)"
I182040903,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),A15,45,,2018-05-28 12:40:00,2018,5,Monday,12,Other,COOK ST,42.38008015,-71.06432734,"(42.38008015, -71.06432734)"
I182040872,00724,Auto Theft,AUTO THEFT,C11,350,,2018-05-28 10:22:00,2018,5,Monday,10,Part One,GREENWICH ST,42.30348022,-71.05842644,"(42.30348022, -71.05842644)"
I182040856,00724,Auto Theft,AUTO THEFT,E13,579,,2018-05-28 01:00:00,2018,5,Monday,1,Part One,CHESTNUT AVE,42.32155229,-71.10244044,"(42.32155229, -71.10244044)"
