INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182038512,00724,Auto Theft,AUTO THEFT,B2,309,,2018-05-20 20:02:00,2018,5,Sunday,20,Part One,MARTIN LUTHER KING JR BLV,42.31860134,-71.08405792,"(42.31860134, -71.08405792)"
I182038314,00724,Auto Theft,AUTO THEFT,E5,551,,2018-05-19 22:00:00,2018,5,Saturday,22,Part One,CORNELL ST,42.27650961,-71.13100618,"(42.27650961, -71.13100618)"
I182038313,00724,Auto Theft,AUTO THEFT,E18,480,,2018-05-20 04:40:00,2018,5,Sunday,4,Part One,FAIRLAWN AVE,42.26788791,-71.10067012,"(42.26788791, -71.10067012)"
I182038224,00724,Auto Theft,AUTO THEFT,A7,12,,2018-05-19 19:36:00,2018,5,Saturday,19,Part One,BOARDMAN ST,42.39001126,-71.01170314,"(42.39001126, -71.01170314)"
I182038207,00724,Auto Theft,AUTO THEFT,C11,257,,2018-05-19 04:00:00,2018,5,Saturday,4,Part One,WINDERMERE RD,42.31528286,-71.06221372,"(42.31528286, -71.06221372)"
I182038198,00724,Auto Theft,AUTO THEFT,D4,157,,2018-05-19 14:00:00,2018,5,Saturday,14,Part One,AGUADILLA ST,42.34116632,-71.07537694,"(42.34116632, -71.07537694)"
I182038184,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),B2,183,,2018-05-19 16:27:00,2018,5,Saturday,16,Other,DUDLEY ST,42.32104169,-71.07215291,"(42.32104169, -71.07215291)"
I182038160,00724,Auto Theft,AUTO THEFT,C6,226,,2018-05-19 14:28:00,2018,5,Saturday,14,Part One,L ST,42.33416500,-71.03533745,"(42.33416500, -71.03533745)"
I182038147,00727,Auto Theft,AUTO THEFT - LEASED/RENTED VEHICLE,D4,167,,2018-05-19 13:53:00,2018,5,Saturday,13,Part One,MALDEN ST,42.33965959,-71.06700618,"(42.33965959, -71.06700618)"
I182038125,00724,Auto Theft,AUTO THEFT,D14,770,,2018-05-18 18:00:00,2018,5,Friday,18,Part One,BENNETT ST,42.35134781,-71.15403802,"(42.35134781, -71.15403802)"
