INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I172096609,03301,Verbal Disputes,VERBAL DISPUTE,B2,305,,2017-11-19 16:24:00,2017,11,Sunday,16,Part Three,WALNUT AVE,42.31878339,-71.09074228,"(42.31878339, -71.09074228)"
I172096597,03301,Verbal Disputes,VERBAL DISPUTE,B3,463,,2017-11-19 14:33:00,2017,11,Sunday,14,Part Three,HARVARD ST,42.29260629,-71.08989828,"(42.29260629, -71.08989828)"
I172096560,03301,Verbal Disputes,VERBAL DISPUTE,B3,427,,2017-11-19 00:00:00,2017,11,Sunday,0,Part Three,CLARKWOOD ST,42.28013735,-71.09079826,"(42.28013735, -71.09079826)"
I172096556,03301,Verbal Disputes,VERBAL DISPUTE,B2,332,,2017-11-19 00:00:00,2017,11,Sunday,0,Part Three,COLUMBIA RD,42.31519665,-71.06678387,"(42.31519665, -71.06678387)"
I172096549,03301,Verbal Disputes,VERBAL DISPUTE,B3,452,,2017-11-19 11:29:00,2017,11,Sunday,11,Part Three,ELWYN RD,42.29573528,-71.07435256,"(42.29573528, -71.07435256)"
I172096547,03301,Verbal Disputes,VERBAL DISPUTE,B2,327,,2017-11-19 10:50:00,2017,11,Sunday,10,Part Three,SARGENT ST,42.31598379,-71.07385464,"(42.31598379, -71.07385464)"
I172096531,03301,Verbal Disputes,VERBAL DISPUTE,C11,336,,2017-11-19 10:05:00,2017,11,Sunday,10,Part Three,BOWDOIN ST,42.30465897,-71.06912603,"(42.30465897, -71.06912603)"
I172096526,03301,Verbal Disputes,VERBAL DISPUTE,C11,402,,2017-11-19 09:34:00,2017,11,Sunday,9,Part Three,FULLER ST,42.28248068,-71.06981187,"(42.28248068, -71.06981187)"
I172096480,03301,Verbal Disputes,VERBAL DISPUTE,B3,442,,2017-11-19 01:03:00,2017,11,Sunday,1,Part Three,WESTCOTT ST,42.29321805,-71.07886455,"(42.29321805, -71.07886455)"
I172096478,03301,Verbal Disputes,VERBAL DISPUTE,C11,402,,2017-11-19 01:57:00,2017,11,Sunday,1,Part Three,FULLER ST,42.28248068,-71.06981187,"(42.28248068, -71.06981187)"
I172096459,03301,Verbal Disputes,VERBAL DISPUTE,B2,182,,2017-11-19 00:06:00,2017,11,Sunday,0,Part Three,SHIRLEY ST,42.32354783,-71.07225003,"(42.32354783, -71.07225003)"
I172096452,03301,Verbal Disputes,VERBAL DISPUTE,B3,413,,2017-11-19 00:07:00,2017,11,Sunday,0,Part Three,OAKRIDGE ST,42.27700963,-71.07431626,"(42.27700963, -71.07431626)"
I172096441,03301,Verbal Disputes,VERBAL DISPUTE,B2,182,,2017-11-18 23:10:00,2017,11,Saturday,23,Part Three,SHIRLEY ST,42.32354783,-71.07225003,"(42.32354783, -71.07225003)"
I172096421,03301,Verbal Disputes,VERBAL DISPUTE,E18,486,,2017-11-18 21:12:15,2017,11,Saturday,21,Part Three,RADCLIFFE RD,42.26804634,-71.10440439,"(42.26804634, -71.10440439)"
I172096386,03301,Verbal Disputes,VERBAL DISPUTE,B2,279,,2017-11-18 18:30:00,2017,11,Saturday,18,Part Three,DUDLEY ST,42.32850940,-71.08043739,"(42.32850940, -71.08043739)"
I172096381,03301,Verbal Disputes,VERBAL DISPUTE,E13,307,,2017-11-18 18:29:00,2017,11,Saturday,18,Part Three,WESTMINSTER AVE,42.31577329,-71.09461096,"(42.31577329, -71.09461096)"
I172096380,03301,Verbal Disputes,VERBAL DISPUTE,C11,250,,2017-11-18 18:16:00,2017,11,Saturday,18,Part Three,SEA VIEW TER,42.31298679,-71.05011085,"(42.31298679, -71.05011085)"
I172096305,03301,Verbal Disputes,VERBAL DISPUTE,E5,717,,2017-11-18 13:10:00,2017,11,Saturday,13,Part Three,CENTRE ST,42.27285298,-71.16093981,"(42.27285298, -71.16093981)"
I172096179,03301,Verbal Disputes,VERBAL DISPUTE,E5,676,,2017-11-17 23:51:00,2017,11,Friday,23,Part Three,SOUTH ST,42.28772822,-71.14086938,"(42.28772822, -71.14086938)"
I172096170,03301,Verbal Disputes,VERBAL DISPUTE,B3,428,,2017-11-17 22:57:00,2017,11,Friday,22,Part Three,NORFOLK ST,42.28092154,-71.08766264,"(42.28092154, -71.08766264)"
I172096122,03301,Verbal Disputes,VERBAL DISPUTE,E18,493,,2017-11-17 18:57:00,2017,11,Friday,18,Part Three,FRAZER ST,42.26307928,-71.10938536,"(42.26307928, -71.10938536)"
I172096113,03301,Verbal Disputes,VERBAL DISPUTE,B2,324,,2017-11-17 17:24:00,2017,11,Friday,17,Part Three,BLUE HILL AVE,42.31803027,-71.07787472,"(42.31803027, -71.07787472)"
I172096094,03301,Verbal Disputes,VERBAL DISPUTE,D4,170,,2017-11-17 16:54:00,2017,11,Friday,16,Part Three,E SPRINGFIELD ST,42.33602920,-71.07517847,"(42.33602920, -71.07517847)"
I172096092,03301,Verbal Disputes,VERBAL DISPUTE,D14,938,,2017-11-10 17:30:00,2017,11,Friday,17,Part Three,FIDELIS WAY,42.34600287,-71.14387725,"(42.34600287, -71.14387725)"
I172096079,03301,Verbal Disputes,VERBAL DISPUTE,E5,706,,2017-11-17 16:44:00,2017,11,Friday,16,Part Three,PARTRIDGE ST,42.27295830,-71.14773679,"(42.27295830, -71.14773679)"
I172096059,03301,Verbal Disputes,VERBAL DISPUTE,B3,455,,2017-11-17 15:00:00,2017,11,Friday,15,Part Three,NORWELL ST,42.30195045,-71.07798088,"(42.30195045, -71.07798088)"
I172096009,03301,Verbal Disputes,VERBAL DISPUTE,C11,341,,2017-11-17 11:41:00,2017,11,Friday,11,Part Three,HOMES AVE,42.30344073,-71.06674608,"(42.30344073, -71.06674608)"
I172095875,03301,Verbal Disputes,VERBAL DISPUTE,C11,349,,2017-11-17 00:30:00,2017,11,Friday,0,Part Three,ADAMS ST,42.30385443,-71.06087585,"(42.30385443, -71.06087585)"
I172095859,03301,Verbal Disputes,VERBAL DISPUTE,B2,298,,2017-11-16 23:00:00,2017,11,Thursday,23,Part Three,REGENT ST,42.32289006,-71.08793566,"(42.32289006, -71.08793566)"
I172095858,03301,Verbal Disputes,VERBAL DISPUTE,B3,454,,2017-11-16 22:25:00,2017,11,Thursday,22,Part Three,RIPLEY RD,42.29926303,-71.07626513,"(42.29926303, -71.07626513)"
I172095816,03301,Verbal Disputes,VERBAL DISPUTE,B2,316,,2017-11-16 18:53:00,2017,11,Thursday,18,Part Three,HOMESTEAD ST,42.31342215,-71.09348975,"(42.31342215, -71.09348975)"
I172095776,03301,Verbal Disputes,VERBAL DISPUTE,D4,628,,2017-11-16 16:23:00,2017,11,Thursday,16,Part Three,PARK DR,42.34416701,-71.10359107,"(42.34416701, -71.10359107)"
I172095768,03301,Verbal Disputes,VERBAL DISPUTE,B3,427,,2017-11-16 17:09:00,2017,11,Thursday,17,Part Three,BLUE HILL AVE,42.27470119,-71.09344053,"(42.27470119, -71.09344053)"
I172095754,03301,Verbal Disputes,VERBAL DISPUTE,B2,277,,2017-11-16 16:29:00,2017,11,Thursday,16,Part Three,EUSTIS ST,42.33166164,-71.08147827,"(42.33166164, -71.08147827)"
I172095753,03301,Verbal Disputes,VERBAL DISPUTE,A7,907,,2017-11-16 16:00:00,2017,11,Thursday,16,Part Three,LANDING ST,42.37105880,-71.04227322,"(42.37105880, -71.04227322)"
I172095663,03301,Verbal Disputes,VERBAL DISPUTE,E18,526,,2017-11-16 10:32:00,2017,11,Thursday,10,Part Three,STANBRO ST,42.23477776,-71.13025716,"(42.23477776, -71.13025716)"
I172095643,03301,Verbal Disputes,VERBAL DISPUTE,B2,296,,2017-11-16 09:57:00,2017,11,Thursday,9,Part Three,WARREN ST,42.32221645,-71.08206723,"(42.32221645, -71.08206723)"
I172095640,03301,Verbal Disputes,VERBAL DISPUTE,B2,261,,2017-11-16 09:06:00,2017,11,Thursday,9,Part Three,BROOK AVE,42.32014754,-71.07368297,"(42.32014754, -71.07368297)"
